team_name,tickets
Geese Scam Crayons,24
poopeepoopee,26
swimming jellyfish,24
Y-Camp Academy,26
(╯°□°)╯︵ ┻━┻,24
czmhdk sntbgdqr,24
600 pounds,26
Sparkling Daydream,26
Rejected From UC Berkeley🥲,26
N-Dimensional Sum,23
😈,23
CCA Conspiracy,22
FJ Fanbase,22
Sapphire,22
Sapphire Mines,22
carpcarpcarpcarpcarp,21
Le Fishe Au Chocolat De Mapahajit,20
👌whoosh👌,20
win calico = xbox s = fncs qual,22
triehards,20
return 1;,23
Jeffrey Epsilon,24
coping seething inting trolling,23
ininap,21
ISA,22
Google engineer and unpaid interns,20
We'll Figure It Out,23
Existing Chairs 🪑,19
Grass Touching Nonprofit of Scarsdale,22
stackunderflow,20
Rich Gs,20
chinicu,19
Banana Lanche,19
🧱 gimme the brick 🧱,19
Astana-Pavlodar axis,19
------- PRIZE CUTOFF -------,18
no touch grassers,19
pog frogs,19
💀💀💀,19
Fairview HS Competitive Programming Club,21
Ninjas & Doggies,21
Mogussy,19
idk,21
error 1004,19
ฅ^•ﻌ•^ฅ,16
java bandits,18
what the skibidi fanum tax grimace in ohio,18
scrge_orz,18
surplus of talent,20
ASDAN 039,18
X-Camp Team 6,18
podemice,18
WY Dolphins,18
Penguins of MRK,18
X-Camp Team hOLA,18
BrainTime Exception,17
Unit 6 - C Lang (part 4),16
The Pepper Wreckers,19
Epic Gamers,19
Almost Turing Complete,17
C++ Fusion Force,17
X-Camp Regarded Artistic De Anza Rejects,17
SCPCJZ,17
wing my way,19
CCA Unkindness,17
ManiAC,17
"There is no way I win CALICO Spring 24, muri muri!",17
AlephZero01,19
jgj carried us,16
RICHCODE,16
Rejected from UT,19
sum_{n=1}^{infty}rac{1}{n^{0.5+14.134725i}},18
hxu10,16
MickeyCo,16
PuppyImpression,19
Morsos,17
long long looksmaxxers,18
ok,16
idk03,16
Oveido,16
3 mosqueteiro,16
CCA Treachery,17
Pantheon,17
�,16
Bidik - Penzija?,18
Ctrl + Alt + Defeat,16
ASDAN 005,16
Iaso,15
ASDAN 008,15
66% Asian,16
Brown Bandits,15
ASDAN 029,15
change this later,15
Xcamp Team 10,17
ASDAN 004,16
Bilardo,15
bogobogosorters,16
Master Chefs,17
deekstra,15
rohan the ap stats god,15
Triple A,15
Ginger Bread Enjoyers,17
AWEsome,18
~/dev,15
ore's theorem,15
grap,17
Conic Potatoes,17
ASDAN 031,15
ASDAN 030,15
plus one minus one,15
Bing-Dong Liu Fanboys,17
asdfg,17
SKIBIDI-TOILET,14
O(0),16
Cool Coding Cats,14
Mushoku Tensei,14
jo(nathan^2),14
Hack Bubs,15
Amogus,15
A,14
roggenrola,15
The Maginot Line,15
wdym01,15
ASDAN 001,15
Peterfun,15
berkeley 🐐 stanford 🤡,15
the tree sparrows,13
[Redacted],14
弱すぎる,14
why,14
lu_na returns,14
DanRGB2.0,14
Stemgrammers,14
PSN,14
The Hardware Hackers,16
ASDAN 048,14
Zerone.,14
TKM1,14
NCSSM SIMC,14
🧱,16
high colonials,16
Trinity Tigers,14
The Three Knights,14
I Was Prawn Ready!,17
Nth Time’s the Charm,12
Awavauatush,15
cordelius,16
Sphere Bird,12
mrs behar fan club,13
ASDAN 036,13
:),13
Q^2,13
NaN,15
NotCreativeEnoughForThis,13
X-camp Volcano'); DROP TABLE names;--,13
Tropical Punch,13
Softer Drinks,13
Waffles and Pancakes,13
Trinity School,13
ASDAN 003,15
Pawsome Programmers,13
Code Knights,13
Hippogriff,13
Boulan Broncos,13
Fundamental Theorems of Calculus,13
team,15
Stratford Lions,13
the infinite loops,15
ASDAN 040,13
ASDAN 043,13
Too good team,13
Team Texas,13
Lazy Pandas,15
ASDAN 028,13
Goopy,13
ApesTogetherStrong,13
The Goofy Goobers,13
Calgary Coders,13
epiconan,13
...,13
Megaultrainsanecomputersciencedestroyers,13
Salzcity,13
GOATs,13
Sudbury,13
ASDAN 016,15
請不要翻譯,13
What does pip stand for?,15
banana,15
eva,13
Debug Thugs,13
ShrimpTempura,13
BoriNotFound,15
Tiktok Rizz Party,13
Flyingchimpanzee,13
The National Quizbowl Tournament,13
mu cows,14
HugoDConde,12
Gang Beasts,12
ASDAN 006,12
Jimbob,15
Serene Squarers,12
ASDAN 041,13
DAOSTEM 2,12
ASDAN 009,13
Sudo Shutdown,12
HelloWin,14
ASDAN 046,13
doo doo fard,14
ASDAN 002,12
i can't C#,11
Harambe,12
Syntax Saplings,14
x-camp hearts,11
WApolloREW,14
idli gang,11
CalCA,11
Catlico,12
HappyLemon,11
Silence of the LAN,11
Silence of the LAN 2,11
Mathgic,12
ASDAN 042,12
ASDAN 013,12
ASDAN 012,12
ASDAN 015,14
Have A Great Day,11
DAOSTEM,11
ASDAN 044,12
ASDAN 027,13
X-Camp Team 8,12
],12
Team Eddy Li,12
Main Street Cupertino,12
ASDAN 011,14
Sunshines,13
SeaDoggo,12
ASDAN 018,14
"System.out.println(""Girl Power"");",12
Lacking braincells,11
ASDAN 019,14
Good morning dudes,11
"(7,4) + Penguin Enthusiasts",11
I don’t know,11
programming ppl,11
elemi,13
ARHS Titans,11
Vintage corp,13
tyler1,11
ASDAN 045,11
SCA000,11
SCA0002,11
CyberDawgs,13
therealchainman,12
</Undefined>,10
bob152637,10
Code Warriors,10
Big and Greedy,10
asdf,10
ASDAN 047,12
TabbyGordo,10
ASDAN 025,12
ASDAN 017,12
ASDAN 022,10
chandelier,12
Aasquare Stars02,10
ASDAN 007,10
Holy Trinity,10
Quail,10
Monkey Squad,10
Innovator,10
ASDAN 014,10
ASDAN 010,10
de_mirage,10
RestInPeaceNubbins,10
BMW Enjoyers,10
Reverse Psychology,10
Python_is_W,10
ASDAN 026,12
ASDAN 033,10
Team T,10
DZFC,10
Ryan Ren,10
ASDAN 038,10
VAMOS!,10
lost,10
ASDAN 032,10
SCA0003,10
SCA0001,10
The Rattlesnakes,10
:>,0
.,0
3 Idiots,0
Aasquare Stars,0
abc,0
adfa,0
Aditya's Team,0
ASDAN 020,0
ASDAN 021,0
ASDAN 023,0
ASDAN 024,0
ASDAN 034,0
ASDAN 035,0
ASDAN 037,0
Avarus Algorithmus,0
boolean baddies,0
Broken Techs,0
Bug Bashers,0
catsatrop,0
chale_to_chand_tak_varna_shaam_tak,0
chenjunhan,0
Cookies,0
CS,0
Ctrl Alt Defeat,0
Cutie Pies,0
daniel,0
DBPC,0
DDAA,0
Del Ray,0
Dongjun Wang,0
e the natural number,0
Electron Haters,0
Error404,0
fadhil anak gang ali,0
Fakeppl,0
flower,0
Fortnite Balls,0
FTE,0
funzies,0
green grape soda,0
habd,0
Hammack,0
Hammer and Sickle,0
harambes,0
Harshu Varanasi,0
hawk,0
Hello World,0
Holy Cow,0
Hydra,0
idk02,0
Ill do it myself,0
Indigo,0
Individual,0
JavaChip,0
Jinhan Li,0
Jordan,0
KAIBOOOOOO,0
Kamisato01,0
Kamisato02,0
KKF on F with CC over PFC,0
Kosa,0
Leaches,0
LeBums,0
lifesteals,0
Lonely Shark,0
Madhav,0
Md Abedin,0
Me,0
merp,0
MK t,0
Monkeys on a Typewriter,0
mwen,0
my pookie bear BronBron 🥰,0
N/A,0
Noob coders,0
ok god,0
Oyasuminasan,0
pak attack,0
petezahut,0
professional,0
Protein,0
purplePotatoes,0
RetroCube,0
RH,0
Rocking,0
rvgtxdy,0
Salzcity(Dupl),0
SCA001,0
SCA1024,0
Shengrui Tian,0
Shushing Face,0
skateskunk,0
softer drinks,0
stardust,0
SundarSTEM Ctrl Freaks,0
T-Art,0
TArt,0
team 1,0
Team JoJo,0
Team Name,0
Team Team,0
Texas,0
thaCoder,0
The Cyber Sirens,0
The Devastators,0
The Goat,0
The new day,0
The Scientific Menace,0
Thomas Watchers,0
thrembo,0
Time_pass,0
Torrey Pines High School,0
totoro,0
TTCO,0
Twhat,0
TWO MORE,0
unknown,0
useless,0
Vamos,0
vrangr,0
y,0
YayTeam,0
Yield protected from Berkeley,0
