name,quantity
$200 X-Camp New Student Tuition Certificates,5
1 Month Discord Nitro Subscription,2
"$10 Gift Card (Amazon, Steam, Apple/Google Play, League of Legends)",6
Meta Shirt Swag Bundle (Size Medium)*,2
Meta Bottle Swag Bundle*,1
Instagram Mug Swag Bundle*,1
Amazon Mystery Swag Bundle*,1
M{IT}^2 Shirt (Size Medium)*,1
CALICO Swag Bundle (Tote Bag + Keychain + Sticker + Shirt)*,1
5x CALICO Sticker Pack (3 Stickers)*,5
CALICO Sandal (Left)*,1
CALICO Sandal (Right)*,1
"1x Limited Edition ""CALCO TOWN"" Shirt (Black, Large)*",1
"1x Limited Edition ""CALCO TOWN"" Shirt (White, Large)*",1
Brick*,1
